site,season,sample,date,month,index,length,totwt,shellwt,TW_Check,meatwt,viscwt,cover,gonadscr,sex,outlier,comment
Gardens,Summer,3,22/01/2014,1,199,48,42.2,19.3,-19.39,42.3,-19,,0,I,0,
Gardens,Summer,3,22/01/2014,1,162,53,21.1,8.3,3.6,9.2,4,,0,I,0,
Gardens,Summer,3,22/01/2014,1,109,54,161,78.3,28.59,54.1,29,,1,F,1,
Gardens,Summer,3,22/01/2014,1,169,56,19.1,4.1,7.4,7.6,7,,0,I,0,
Gardens,Summer,3,22/01/2014,1,44,58,30.8,15,-9.54E-07,15.8,0,,0,I,0,
Gardens,Summer,3,22/01/2014,1,120,61,27.2,10.4,6,10.8,6,,0,I,0,
Gardens,Summer,3,22/01/2014,1,37,64,35,13,7.1,14.9,7,,0,I,0,
Gardens,Summer,3,22/01/2014,1,180,64,35.9,15.2,6.5,14.2,7,,0,I,0,
Gardens,Summer,3,22/01/2014,1,66,65,32.9,13.4,5.3,14.2,5,,0,I,0,
Gardens,Summer,3,22/01/2014,1,67,65,26.2,12.2,-3.49,17.5,-3,,0,I,0,
Gardens,Summer,3,22/01/2014,1,121,67,35.6,16.3,5.09,14.2,5,,0,I,0,
Gardens,Summer,3,22/01/2014,1,177,71,37.3,14.7,6.09,16.5,6,,0,I,0,
Gardens,Summer,3,22/01/2014,1,107,72,41,16.5,7.1,17.4,7,,0,I,0,
Gardens,Summer,3,22/01/2014,1,113,72,40.7,16.9,9.2,14.6,9,,0,I,0,
Gardens,Summer,3,22/01/2014,1,155,73,59.8,21.7,10.69,27.4,11,,0,I,0,
Gardens,Summer,3,22/01/2014,1,16,74,59.6,17.5,16.29,25.8,16,,0,I,0,
Gardens,Summer,3,22/01/2014,1,171,74,53.1,17.1,12.1,23.9,12,,0,I,0,
Gardens,Summer,3,22/01/2014,1,101,75,44.4,17.1,10.6,16.7,11,,0,I,0,
Gardens,Summer,3,22/01/2014,1,122,75,47,20.8,8.9,17.3,9,,0,I,0,
Gardens,Summer,3,22/01/2014,1,56,77,49.8,17.4,8.7,23.7,9,,0,I,0,
Gardens,Summer,3,22/01/2014,1,106,78,47.1,18.3,9.69,19.1,10,,0,I,0,
Gardens,Summer,3,22/01/2014,1,190,78,61.5,24.8,11.4,25.3,11,,0,I,0,
Gardens,Summer,3,22/01/2014,1,68,79,50.1,28,0.89,21.2,1,,0,I,0,
Gardens,Summer,3,22/01/2014,1,85,79,67.2,22.3,13.19,31.7,13,,0,I,0,
Gardens,Summer,3,22/01/2014,1,97,79,45,17.7,8.89,18.4,9,,0,I,0,
Gardens,Summer,3,22/01/2014,1,114,79,52.3,19.4,11.2,21.7,11,,0,I,0,
Gardens,Summer,3,22/01/2014,1,156,79,64.7,23.9,12.29,28.5,12,,0,I,0,
Gardens,Summer,3,22/01/2014,1,2,80,165.5,26.1,106.89,32.5,107,,0,I,0,
Gardens,Summer,3,22/01/2014,1,116,80,55.3,22.4,11.2,21.7,11,,0,I,0,
Gardens,Summer,3,22/01/2014,1,117,80,52.4,21,9.4,22,9,,0,I,0,
Gardens,Summer,3,22/01/2014,1,34,81,54.1,21.7,10.19,22.2,10,,0,I,0,
Gardens,Summer,3,22/01/2014,1,104,81,61.7,24,-588.89,626.6,-589,,0,I,0,
Gardens,Summer,3,22/01/2014,1,187,81,55.7,23.3,11.9,20.5,12,,0,I,0,
Gardens,Summer,3,22/01/2014,1,191,81,50.8,18.5,9.79,22.5,10,,0,I,0,
Gardens,Summer,3,22/01/2014,1,178,82,69.7,24.8,15.29,29.6,15,,0,I,0,
Gardens,Summer,3,22/01/2014,1,22,84,72,26.9,6.29,38.8,6,,0,I,0,
Gardens,Summer,3,22/01/2014,1,3,85,73.6,25.5,15.29,32.8,15,,0,I,0,
Gardens,Summer,3,22/01/2014,1,12,85,69.9,48,-12.09,34,-12,,0,I,0,
Gardens,Summer,3,22/01/2014,1,65,85,65.4,22.9,14.29,28.2,14,,0,I,0,
Gardens,Summer,3,22/01/2014,1,75,85,73.8,26.1,17.2,30.5,17,,0,I,0,
Gardens,Summer,3,22/01/2014,1,111,85,68.2,27.6,6.19,34.4,6,,0,I,0,
Gardens,Summer,3,22/01/2014,1,152,85,77.6,31.2,16.99,29.4,17,,1,F,0,
Gardens,Summer,3,22/01/2014,1,211,85,59.6,19,13.89,26.7,14,,0,I,0,
Gardens,Summer,3,22/01/2014,1,212,85,57.3,20,12.79,24.5,13,,0,I,0,
Gardens,Summer,3,22/01/2014,1,69,86,83.2,28.2,16.19,38.8,16,,0,I,0,
Gardens,Summer,3,22/01/2014,1,76,86,112.2,61.5,6.19,44.5,6,,0,I,0,
Gardens,Summer,3,22/01/2014,1,108,86,77,29.8,14.7,32.5,15,,0,I,0,
Gardens,Summer,3,22/01/2014,1,163,86,75.7,26.9,15.09,33.7,15,,0,I,0,
Gardens,Summer,3,22/01/2014,1,183,87,81.1,30.2,14.59,36.3,15,,0,I,0,
Gardens,Summer,3,22/01/2014,1,139,88,77.9,29.8,10.3,37.8,10,,0,I,0,
Gardens,Summer,3,22/01/2014,1,146,88,78.3,25.7,18.5,34.1,19,,0,I,0,
